,Arousal,KeyPressed,LearningTime,RT,Response,TrialNumber,Valence,nBlock
0,High,left,30.0,3.429435202400432,1.0,0.0,Low,0.0
1,High,left,30.0,6.47625748286217,0.0,1.0,Low,0.0
2,High,right,30.0,-1.0612462835778778,1.0,2.0,Low,0.0
3,High,right,30.0,-0.39784334135846455,1.0,3.0,Low,0.0
4,High,right,30.0,0.5059232138060401,0.0,4.0,Low,0.0
5,High,right,30.0,5.227619925906702,0.0,5.0,Low,0.0
6,High,left,30.0,3.8423876274682955,0.0,6.0,Low,0.0
7,High,left,30.0,1.2213184545162612,1.0,7.0,Low,0.0
8,High,left,30.0,3.0537883876264402,1.0,8.0,Low,0.0
9,High,right,30.0,3.2559211450188164,1.0,9.0,Low,0.0
10,High,right,30.0,1.4903030164911635,0.0,10.0,Low,0.0
11,High,left,30.0,-0.2469399428592336,1.0,11.0,Low,0.0
12,High,left,30.0,4.876648909879761,1.0,12.0,Low,0.0
13,High,right,30.0,2.01159682437461,1.0,13.0,Low,0.0
14,High,left,30.0,2.3160316826276097,0.0,14.0,Low,0.0
15,High,left,30.0,0.8986399559958473,1.0,15.0,Low,0.0
16,High,right,30.0,0.46697505137147255,0.0,16.0,Low,0.0
17,High,right,30.0,0.13540512215445188,0.0,17.0,Low,0.0
18,High,left,30.0,-0.8723184976326803,1.0,18.0,Low,0.0
19,High,right,30.0,2.714376769666463,0.0,19.0,Low,0.0
20,High,right,30.0,1.961569190913663,0.0,20.0,Low,0.0
21,High,right,30.0,3.3349167908393746,1.0,21.0,Low,0.0
22,High,right,30.0,3.5930842356673063,1.0,22.0,Low,0.0
23,High,left,30.0,-0.5795102818342142,0.0,23.0,Low,0.0
24,High,left,30.0,0.8291292677976652,0.0,24.0,Low,0.0
25,High,left,30.0,1.4264584748327365,1.0,25.0,Low,0.0
26,High,right,30.0,-0.4689312432537873,0.0,26.0,Low,0.0
27,High,left,30.0,1.2635451945073484,0.0,27.0,Low,0.0
28,High,left,30.0,-0.593112002432854,1.0,28.0,Low,0.0
29,High,right,30.0,3.720927826545689,1.0,29.0,Low,0.0
30,High,left,30.0,5.200324058030292,1.0,30.0,Low,0.0
