,Arousal,KeyPressed,LearningTime,RT,Response,TrialNumber,Valence,nBlock
0,High,right,30.0,0.9923527586404473,1.0,0.0,Low,0.0
1,High,left,30.0,1.8135668841055141,1.0,1.0,Low,0.0
2,High,left,30.0,0.2521225428705052,0.0,2.0,Low,0.0
3,High,left,30.0,3.7957316566187664,0.0,3.0,Low,0.0
4,High,left,30.0,1.6744807167818914,0.0,4.0,Low,0.0
5,High,left,30.0,2.4924660042489575,1.0,5.0,Low,0.0
6,High,left,30.0,1.5768373794566246,0.0,6.0,Low,0.0
7,High,right,30.0,3.2616571254713693,1.0,7.0,Low,0.0
8,High,right,30.0,-1.5659175545683643,0.0,8.0,Low,0.0
9,High,right,30.0,-0.8033793102878164,1.0,9.0,Low,0.0
10,High,right,30.0,-1.6674529804962739,0.0,10.0,Low,0.0
11,High,left,30.0,1.8302071363377574,0.0,11.0,Low,0.0
12,High,right,30.0,1.8274456485062995,1.0,12.0,Low,0.0
13,High,right,30.0,4.4876499130842795,1.0,13.0,Low,0.0
14,High,right,30.0,0.6820034859077309,1.0,14.0,Low,0.0
15,High,left,30.0,-0.5890558445880112,1.0,15.0,Low,0.0
16,High,left,30.0,3.874105687251217,1.0,16.0,Low,0.0
17,High,left,30.0,2.80744831367325,0.0,17.0,Low,0.0
18,High,right,30.0,2.088494060887827,0.0,18.0,Low,0.0
19,High,right,30.0,5.131567184109833,1.0,19.0,Low,0.0
20,High,left,30.0,3.074787828755886,1.0,20.0,Low,0.0
21,High,left,30.0,0.429642300358984,0.0,21.0,Low,0.0
22,High,left,30.0,-0.0034786073921730942,0.0,22.0,Low,0.0
23,High,right,30.0,2.319417800986278,0.0,23.0,Low,0.0
24,High,right,30.0,2.3583677654001773,0.0,24.0,Low,0.0
25,High,right,30.0,4.532798601366671,0.0,25.0,Low,0.0
26,High,right,30.0,3.5529664670179786,0.0,26.0,Low,0.0
27,High,left,30.0,2.961368789258182,0.0,27.0,Low,0.0
28,High,left,30.0,-0.1356842156703677,1.0,28.0,Low,0.0
29,High,left,30.0,0.8753749797133878,0.0,29.0,Low,0.0
30,High,right,30.0,2.747583944590348,1.0,30.0,Low,0.0
31,High,right,30.0,2.5984388837850227,0.0,31.0,Low,0.0
32,High,right,30.0,1.5861495929314104,0.0,32.0,Low,0.0
33,High,right,30.0,0.6690775126573858,0.0,33.0,Low,0.0
34,High,left,30.0,3.6130631407698868,0.0,34.0,Low,0.0
35,High,right,30.0,2.297817498737044,0.0,35.0,Low,0.0
36,High,left,30.0,2.1756231604318454,1.0,36.0,Low,0.0
37,High,left,30.0,1.1679632262674793,1.0,37.0,Low,0.0
38,High,right,30.0,0.1873359809530668,0.0,38.0,Low,0.0
39,High,left,30.0,2.651169980106121,1.0,39.0,Low,0.0
40,High,right,30.0,1.8841922571212493,1.0,40.0,Low,0.0
41,High,left,30.0,1.7034283515331452,1.0,41.0,Low,0.0
42,High,left,30.0,4.4683759418135995,1.0,42.0,Low,0.0
43,High,left,30.0,2.41784777118755,1.0,43.0,Low,0.0
44,High,left,30.0,5.141738168029054,0.0,44.0,Low,0.0
45,High,right,30.0,3.8251070828559968,0.0,45.0,Low,0.0
46,High,right,30.0,0.4331197249530594,0.0,46.0,Low,0.0
47,High,left,30.0,3.020379564786504,0.0,47.0,Low,0.0
48,High,left,30.0,5.673013398263726,0.0,48.0,Low,0.0
49,High,left,30.0,-2.451096885780072,0.0,49.0,Low,0.0
50,Low,right,30.0,4.437725889405588,1.0,0.0,Low,1.0
51,Low,right,30.0,0.27572415901486336,0.0,1.0,Low,1.0
52,Low,left,30.0,1.628445555585305,1.0,2.0,Low,1.0
53,Low,left,30.0,3.8804295436467946,0.0,3.0,Low,1.0
54,Low,right,30.0,0.9916372956673412,1.0,4.0,Low,1.0
55,Low,left,30.0,4.225095451916563,0.0,5.0,Low,1.0
56,Low,right,30.0,-0.283145819239347,1.0,6.0,Low,1.0
57,Low,right,30.0,0.29813210125128964,0.0,7.0,Low,1.0
58,Low,right,30.0,1.3951072046832556,1.0,8.0,Low,1.0
59,Low,right,30.0,3.852551320776724,1.0,9.0,Low,1.0
60,Low,right,30.0,3.0297990679678684,1.0,10.0,Low,1.0
61,Low,left,30.0,3.371343840457185,0.0,11.0,Low,1.0
62,Low,left,30.0,0.4870338954833482,1.0,12.0,Low,1.0
63,Low,right,30.0,6.089697989031222,1.0,13.0,Low,1.0
64,Low,right,30.0,0.48325317728575,0.0,14.0,Low,1.0
65,Low,right,30.0,0.11285134381069617,1.0,15.0,Low,1.0
66,Low,left,30.0,3.2664636397904134,1.0,16.0,Low,1.0
67,Low,left,30.0,1.7241573684074774,0.0,17.0,Low,1.0
68,Low,right,30.0,-0.7510505214561625,1.0,18.0,Low,1.0
69,Low,left,30.0,2.4027535043099055,1.0,19.0,Low,1.0
70,Low,left,30.0,1.7100929678616075,1.0,20.0,Low,1.0
71,Low,right,30.0,5.7319025406407,1.0,21.0,Low,1.0
72,Low,left,30.0,3.925347113735608,1.0,22.0,Low,1.0
73,Low,right,30.0,1.9142047961704098,1.0,23.0,Low,1.0
74,Low,right,30.0,1.863316105285413,1.0,24.0,Low,1.0
75,Low,right,30.0,1.060463281679837,1.0,25.0,Low,1.0
76,Low,left,30.0,-1.822331875425254,1.0,26.0,Low,1.0
77,Low,right,30.0,3.5956982796100236,0.0,27.0,Low,1.0
78,Low,left,30.0,0.34885828575001354,1.0,28.0,Low,1.0
79,Low,right,30.0,0.2867841179232695,1.0,29.0,Low,1.0
80,Low,left,30.0,0.7728751483709464,1.0,30.0,Low,1.0
81,Low,right,30.0,2.173248729399145,0.0,31.0,Low,1.0
82,Low,right,30.0,2.9132334604334247,1.0,32.0,Low,1.0
83,Low,right,30.0,2.0701035091370703,1.0,33.0,Low,1.0
84,Low,right,30.0,4.154578517724907,0.0,34.0,Low,1.0
85,Low,left,30.0,3.3775294791657595,1.0,35.0,Low,1.0
86,Low,left,30.0,1.3882559932118967,1.0,36.0,Low,1.0
87,Low,left,30.0,2.927013615693152,0.0,37.0,Low,1.0
88,Low,left,30.0,0.31795348791272904,0.0,38.0,Low,1.0
89,Low,right,30.0,0.6364069228880078,1.0,39.0,Low,1.0
90,Low,left,30.0,2.380332874457441,0.0,40.0,Low,1.0
91,Low,left,30.0,0.9563208396562912,1.0,41.0,Low,1.0
92,Low,left,30.0,2.470249366889729,1.0,42.0,Low,1.0
93,Low,left,30.0,3.7247972651591503,0.0,43.0,Low,1.0
94,Low,right,30.0,2.6494624234923014,0.0,44.0,Low,1.0
95,Low,left,30.0,3.249690715424503,0.0,45.0,Low,1.0
96,Low,right,30.0,4.777369906320935,1.0,46.0,Low,1.0
97,Low,right,30.0,2.594765858491128,0.0,47.0,Low,1.0
98,Low,left,30.0,1.1554686006478654,0.0,48.0,Low,1.0
99,Low,left,30.0,2.635952302127607,1.0,49.0,Low,1.0
100,High,right,60.0,3.6809193063576657,0.0,0.0,Low,2.0
101,High,right,60.0,3.168753994237006,1.0,1.0,Low,2.0
102,High,right,60.0,2.0696106214155505,0.0,2.0,Low,2.0
103,High,left,60.0,0.3883600108530638,0.0,3.0,Low,2.0
104,High,right,60.0,-1.7045337497459812,0.0,4.0,Low,2.0
105,High,left,60.0,4.054894133462081,0.0,5.0,Low,2.0
106,High,left,60.0,1.8182940428563836,0.0,6.0,Low,2.0
107,High,right,60.0,-0.2822072047280688,1.0,7.0,Low,2.0
108,High,left,60.0,2.9149470902211716,0.0,8.0,Low,2.0
109,High,right,60.0,1.9417007720921582,1.0,9.0,Low,2.0
110,High,right,60.0,-0.7986722907290922,0.0,10.0,Low,2.0
111,High,right,60.0,1.8826048822179684,0.0,11.0,Low,2.0
112,High,right,60.0,-0.7087718826362199,1.0,12.0,Low,2.0
113,High,right,60.0,-0.8971231289989929,1.0,13.0,Low,2.0
114,High,left,60.0,2.113204373103912,0.0,14.0,Low,2.0
115,High,left,60.0,-1.2529553959425073,1.0,15.0,Low,2.0
116,High,right,60.0,0.35486932659503223,1.0,16.0,Low,2.0
117,High,left,60.0,3.6939645593155896,1.0,17.0,Low,2.0
118,High,right,60.0,-2.6980752748646384,0.0,18.0,Low,2.0
119,High,left,60.0,2.3496869620197947,0.0,19.0,Low,2.0
120,High,left,60.0,0.9936753023220037,0.0,20.0,Low,2.0
