,Arousal,KeyPressed,LearningTime,RT,Response,TrialNumber,Valence,nBlock
0,High,left,30.0,3.8466328266469763,1.0,0.0,Low,0.0
1,High,left,30.0,2.112189814151582,1.0,1.0,Low,0.0
2,High,left,30.0,5.524013373308916,0.0,2.0,Low,0.0
3,High,right,30.0,1.6665783401126792,0.0,3.0,Low,0.0
4,High,left,30.0,2.9496001503598994,0.0,4.0,Low,0.0
5,High,right,30.0,1.3768685680369877,0.0,5.0,Low,0.0
6,High,left,30.0,3.0134801172113095,1.0,6.0,Low,0.0
7,High,right,30.0,4.954639456876001,0.0,7.0,Low,0.0
8,High,left,30.0,-0.10529542408775949,0.0,8.0,Low,0.0
9,High,right,30.0,1.8405005152990879,0.0,9.0,Low,0.0
10,High,right,30.0,0.40744265205584784,0.0,10.0,Low,0.0
11,High,left,30.0,0.2696380565290457,0.0,11.0,Low,0.0
12,High,left,30.0,2.8878498972184463,0.0,12.0,Low,0.0
13,High,right,30.0,0.5475367195811356,0.0,13.0,Low,0.0
14,High,left,30.0,4.3509888745697545,1.0,14.0,Low,0.0
15,High,left,30.0,2.10033124690612,1.0,15.0,Low,0.0
16,High,right,30.0,3.846831841729515,0.0,16.0,Low,0.0
17,High,left,30.0,4.9992565549363395,0.0,17.0,Low,0.0
18,High,right,30.0,0.4050724085458026,1.0,18.0,Low,0.0
19,High,right,30.0,1.0756398959851474,0.0,19.0,Low,0.0
20,High,left,30.0,-0.2820599329908515,1.0,20.0,Low,0.0
21,High,right,30.0,4.105690748165696,1.0,21.0,Low,0.0
22,High,left,30.0,0.20377784006410082,0.0,22.0,Low,0.0
23,High,right,30.0,0.7225999633796703,1.0,23.0,Low,0.0
24,High,right,30.0,-2.1602359650653753,0.0,24.0,Low,0.0
25,High,right,30.0,-0.18484200229927517,0.0,25.0,Low,0.0
26,High,right,30.0,4.966939143184008,0.0,26.0,Low,0.0
27,High,right,30.0,2.123833365897166,1.0,27.0,Low,0.0
28,High,right,30.0,0.8042655441861573,0.0,28.0,Low,0.0
29,High,right,30.0,5.596058803557972,0.0,29.0,Low,0.0
30,High,left,30.0,-1.7078251315136095,1.0,30.0,Low,0.0
31,High,left,30.0,3.809421904172859,0.0,31.0,Low,0.0
32,High,right,30.0,1.9555945037692704,1.0,32.0,Low,0.0
33,High,left,30.0,0.8799002161021179,0.0,33.0,Low,0.0
34,High,right,30.0,3.413611070014431,1.0,34.0,Low,0.0
35,High,right,30.0,3.272197888291803,0.0,35.0,Low,0.0
36,High,left,30.0,0.7379862792291461,0.0,36.0,Low,0.0
37,High,left,30.0,1.912532023923145,0.0,37.0,Low,0.0
38,High,right,30.0,5.143094277557653,1.0,38.0,Low,0.0
39,High,left,30.0,0.7334328284586411,1.0,39.0,Low,0.0
40,High,left,30.0,0.39436381013432253,0.0,40.0,Low,0.0
41,High,left,30.0,1.3499526394037966,0.0,41.0,Low,0.0
42,High,left,30.0,4.350138401543748,0.0,42.0,Low,0.0
43,High,left,30.0,-2.786022145092158,1.0,43.0,Low,0.0
44,High,right,30.0,2.5818573024090967,1.0,44.0,Low,0.0
45,High,left,30.0,3.943160287327944,0.0,45.0,Low,0.0
46,High,left,30.0,2.7217650984844015,1.0,46.0,Low,0.0
47,High,right,30.0,3.02474048873393,1.0,47.0,Low,0.0
48,High,left,30.0,3.2046934861036482,0.0,48.0,Low,0.0
49,High,right,30.0,4.251216571800584,1.0,49.0,Low,0.0
50,Low,left,30.0,-0.551938003666681,1.0,0.0,Low,1.0
51,Low,left,30.0,2.3060430524822033,0.0,1.0,Low,1.0
52,Low,left,30.0,3.1286571508082033,1.0,2.0,Low,1.0
53,Low,right,30.0,1.6830431813942084,0.0,3.0,Low,1.0
54,Low,right,30.0,1.7639780759926043,0.0,4.0,Low,1.0
55,Low,left,30.0,6.4650718552762605,0.0,5.0,Low,1.0
56,Low,right,30.0,3.401037726669176,0.0,6.0,Low,1.0
57,Low,left,30.0,1.015290566932058,0.0,7.0,Low,1.0
58,Low,right,30.0,0.05952786123013332,0.0,8.0,Low,1.0
59,Low,right,30.0,1.9015406668087833,0.0,9.0,Low,1.0
60,Low,left,30.0,5.370596525602712,0.0,10.0,Low,1.0
61,Low,left,30.0,2.0373103117109186,0.0,11.0,Low,1.0
62,Low,left,30.0,5.743589023274192,1.0,12.0,Low,1.0
63,Low,left,30.0,-0.5511189707981172,0.0,13.0,Low,1.0
64,Low,left,30.0,0.8609907062249369,1.0,14.0,Low,1.0
65,Low,left,30.0,-0.036660576871135664,1.0,15.0,Low,1.0
66,Low,right,30.0,4.009581427112685,0.0,16.0,Low,1.0
67,Low,right,30.0,2.7970488479662587,0.0,17.0,Low,1.0
68,Low,left,30.0,4.659163313012417,0.0,18.0,Low,1.0
69,Low,left,30.0,-1.7552578397469045,1.0,19.0,Low,1.0
70,Low,right,30.0,5.796364359013865,0.0,20.0,Low,1.0
71,Low,left,30.0,-1.3661955866295452,0.0,21.0,Low,1.0
72,Low,right,30.0,1.926238711911451,1.0,22.0,Low,1.0
73,Low,right,30.0,5.287521194523803,1.0,23.0,Low,1.0
74,Low,right,30.0,3.513476317540504,1.0,24.0,Low,1.0
75,Low,left,30.0,1.839712017090194,0.0,25.0,Low,1.0
76,Low,right,30.0,-2.2930303173799653,0.0,26.0,Low,1.0
77,Low,right,30.0,2.4284045236721328,1.0,27.0,Low,1.0
78,Low,right,30.0,2.491635676594097,0.0,28.0,Low,1.0
79,Low,right,30.0,0.35712762986880753,1.0,29.0,Low,1.0
80,Low,right,30.0,1.6804383032665453,1.0,30.0,Low,1.0
81,Low,right,30.0,4.073109247262119,0.0,31.0,Low,1.0
82,Low,right,30.0,0.28886281788250656,1.0,32.0,Low,1.0
83,Low,right,30.0,1.2679730423703492,1.0,33.0,Low,1.0
84,Low,right,30.0,3.6973856694545484,0.0,34.0,Low,1.0
85,Low,right,30.0,0.20051750955136716,0.0,35.0,Low,1.0
86,Low,left,30.0,2.132543219252082,1.0,36.0,Low,1.0
87,Low,right,30.0,-1.5997704722639128,0.0,37.0,Low,1.0
88,Low,right,30.0,2.7085187916165605,1.0,38.0,Low,1.0
