word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,introText.started,introText.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,InstructValenceText.started,InstructValenceText.stopped,Valence.started,Valence.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,InstructArousalText.started,InstructArousalText.stopped,Arousal.started,Arousal.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,WordPresentation.started,WordPresentation.stopped,ArousalGuide.started,ArousalGuide.stopped,text_3.started,text_3.stopped,A_key_resp.keys,A_key_resp.rt,A_key_resp.started,A_key_resp.stopped,WordPresentation2.started,WordPresentation2.stopped,ValenceImage.started,ValenceImage.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ParticipantID,date,expName,psychopyVersion,frameRate,
,,,,,16.14829992000159,None,0.01,-0.04888888888888889,1,0,0,0.010059757987619378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,2019_Oct_21_1533,SurveyExpMetaMem,3.2.3,59.100445942282235,
,,,,,,,,,,,,,,17.75188885800162,None,0.01,-0.04888888888888889,1,0,0,0.013566597503086086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,2019_Oct_21_1533,SurveyExpMetaMem,3.2.3,59.100445942282235,
,,,,,,,,,,,,,,,,,,,,,,,19.238537293000263,None,19.238537293000263,None,0.01,-0.04888888888888889,1,0,0,0.01390817150240764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,2019_Oct_21_1533,SurveyExpMetaMem,3.2.3,59.100445942282235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.124729662999016,None,20.124729662999016,None,0.01,-0.04888888888888889,1,0,0,0.014171922499372158,None,,,,,,,,,,,,,,,,,,,,,99999,2019_Oct_21_1533,SurveyExpMetaMem,3.2.3,59.100445942282235,
freeway,0,0,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.094207266000012,None,21.094207266000012,None,21.094207266000012,None,7,1.6327772419972462,0.013887257999158464,None,22.76603309499842,None,22.76603309499842,None,22.76603309499842,None,7,0.41058308300125645,0.0028593155002454296,None,99999,2019_Oct_21_1533,SurveyExpMetaMem,3.2.3,59.100445942282235,
fantastic,0,1,1,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.199606325000786,None,23.199606325000786,None,23.199606325000786,None,7,0.40148836599837523,0.01178318599704653,None,23.63349939299951,None,23.63349939299951,None,23.63349939299951,None,7,0.16135208299965598,0.007873053502407856,None,99999,2019_Oct_21_1533,SurveyExpMetaMem,3.2.3,59.100445942282235,
fair,0,2,2,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.81830776700008,None,23.81830776700008,None,23.81830776700008,None,7,0.1781559830014885,0.009321089502918767,None,24.018670129000384,None,24.018670129000384,None,24.018670129000384,None,7,0.1677341169997817,0.009659651499532629,None,99999,2019_Oct_21_1533,SurveyExpMetaMem,3.2.3,59.100445942282235,
drill,0,3,3,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.185889101998328,None,24.185889101998328,None,24.185889101998328,None,7,0.1786638400008087,0.010080255502543878,None,24.40329034399838,None,24.40329034399838,None,24.40329034399838,None,7,0.1716840230001253,0.009803028500755318,None,99999,2019_Oct_21_1533,SurveyExpMetaMem,3.2.3,59.100445942282235,
inferior,0,4,4,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.586790446999657,None,24.586790446999657,None,24.586790446999657,None,7,0.1958751599995594,0.008100501498120138,None,24.803530735000095,None,24.803530735000095,None,24.803530735000095,None,7,0.1682281090033939,0.009189986500132363,None,99999,2019_Oct_21_1533,SurveyExpMetaMem,3.2.3,59.100445942282235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.98782808100077,None,24.98782808100077,None,24.98782808100077,None,7,0.17631616500148084,0.007478453502699267,None,,,,,,,,,,,,,,,,
